Date,Name
25-12-2003,Christmas
27-12-2003,Last day of Hanukkah
31-12-2003,New Year's Eve
01-01-2004,New Year's Day
15-01-2004,Pongal
15-01-2004,Makar Sankranti
22-01-2004,Chinese New Year
26-01-2004,Republic Day
26-01-2004,Vasant Panchami
02-02-2004,Bakr Id/Eid ul-Adha
14-02-2004,Valentine's Day
18-02-2004,Maha Shivaratri/Shivaratri
07-03-2004,Holi
20-03-2004,March Equinox
21-03-2004,Ugadi
21-03-2004,Gudi Padwa
30-03-2004,Rama Navami
06-04-2004,First day of Passover
08-04-2004,Maundy Thursday
09-04-2004,Good Friday
11-04-2004,Easter Day
01-05-2004,May Day
08-05-2004,Birthday of Ravindranath
09-05-2004,Mother's Day
19-06-2004,Rath Yatra
20-06-2004,Father's Day
21-06-2004,June Solstice
01-08-2004,Friendship Day
15-08-2004,Independence Day
28-08-2004,Onam
29-08-2004,Raksha Bandhan (Rakhi)
06-09-2004,Janmashtami (Smarta)
07-09-2004,Janmashtami
18-09-2004,Ganesh Chaturthi/Vinayaka Chaturthi
22-09-2004,September Equinox
02-10-2004,Mahatma Gandhi Jayanti
14-10-2004,First Day of Sharad Navratri
19-10-2004,First Day of Durga Puja Festivities
22-10-2004,Dussehra
31-10-2004,Halloween
31-10-2004,Karaka Chaturthi (Karva Chauth)
12-11-2004,Diwali/Deepavali
14-11-2004,Ramzan Id/Eid-ul-Fitar
14-11-2004,Bhai Duj
17-11-2004,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
08-12-2004,First Day of Hanukkah
15-12-2004,Last day of Hanukkah
21-12-2004,December Solstice
24-12-2004,Christmas Eve
25-12-2004,Christmas
31-12-2004,New Year's Eve
01-01-2005,New Year's Day
05-01-2005,Guru Govind Singh Jayanti
14-01-2005,Pongal
14-01-2005,Makar Sankranti
21-01-2005,Bakr Id/Eid ul-Adha
26-01-2005,Republic Day
09-02-2005,Chinese New Year
13-02-2005,Vasant Panchami
14-02-2005,Valentine's Day
19-02-2005,Shivaji Jayanti
24-02-2005,Guru Ravidas Jayanti
05-03-2005,Maharishi Dayanand Saraswati Jayanti
08-03-2005,Maha Shivaratri/Shivaratri
20-03-2005,March Equinox
24-03-2005,Maundy Thursday
25-03-2005,Good Friday
26-03-2005,Holi
27-03-2005,Easter Day
09-04-2005,Chaitra Sukhladi
09-04-2005,Ugadi
09-04-2005,Gudi Padwa
14-04-2005,Vaisakhi
18-04-2005,Rama Navami
22-04-2005,Mahavir Jayanti
22-04-2005,Milad un-Nabi/Id-e-Milad
24-04-2005,First day of Passover
01-05-2005,May Day
08-05-2005,Mother's Day
08-05-2005,Birthday of Ravindranath
23-05-2005,Buddha Purnima/Vesak
19-06-2005,Father's Day
21-06-2005,June Solstice
08-07-2005,Rath Yatra
07-08-2005,Friendship Day
15-08-2005,Independence Day
19-08-2005,Raksha Bandhan (Rakhi)
19-08-2005,Hazarat Ali's Birthday
20-08-2005,Parsi New Year
26-08-2005,Janmashtami (Smarta)
27-08-2005,Janmashtami
07-09-2005,Ganesh Chaturthi/Vinayaka Chaturthi
15-09-2005,Onam
23-09-2005,September Equinox
02-10-2005,Mahatma Gandhi Jayanti
04-10-2005,First Day of Sharad Navratri
09-10-2005,First Day of Durga Puja Festivities
10-10-2005,Maha Saptami
11-10-2005,Maha Ashtami
12-10-2005,Dussehra
17-10-2005,Maharishi Valmiki Jayanti
20-10-2005,Karaka Chaturthi (Karva Chauth)
28-10-2005,Jamat Ul-Vida
31-10-2005,Halloween
01-11-2005,Diwali/Deepavali
02-11-2005,Govardhan Puja
03-11-2005,Bhai Duj
04-11-2005,Ramzan Id/Eid-ul-Fitar
07-11-2005,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
15-11-2005,Guru Nanak Jayanti
24-11-2005,Guru Tegh Bahadur's Martyrdom Day
22-12-2005,December Solstice
24-12-2005,Christmas Eve
25-12-2005,Christmas
26-12-2005,First Day of Hanukkah
31-12-2005,New Year's Eve
01-01-2006,New Year's Day
02-01-2006,Last day of Hanukkah
05-01-2006,Guru Govind Singh Jayanti
11-01-2006,Bakr Id/Eid ul-Adha
14-01-2006,Pongal
14-01-2006,Makar Sankranti
26-01-2006,Republic Day
29-01-2006,Chinese New Year
02-02-2006,Vasant Panchami
13-02-2006,Guru Ravidas Jayanti
14-02-2006,Valentine's Day
19-02-2006,Shivaji Jayanti
23-02-2006,Maharishi Dayanand Saraswati Jayanti
26-02-2006,Maha Shivaratri/Shivaratri
15-03-2006,Holi
20-03-2006,March Equinox
30-03-2006,Chaitra Sukhladi
30-03-2006,Ugadi
30-03-2006,Gudi Padwa
06-04-2006,Rama Navami
11-04-2006,Mahavir Jayanti
11-04-2006,Milad un-Nabi/Id-e-Milad
13-04-2006,First day of Passover
13-04-2006,Maundy Thursday
14-04-2006,Good Friday
14-04-2006,Vaisakhi
16-04-2006,Easter Day
01-05-2006,May Day
08-05-2006,Birthday of Ravindranath
13-05-2006,Buddha Purnima/Vesak
14-05-2006,Mother's Day
18-06-2006,Father's Day
21-06-2006,June Solstice
27-06-2006,Rath Yatra
06-08-2006,Friendship Day
08-08-2006,Hazarat Ali's Birthday
09-08-2006,Raksha Bandhan (Rakhi)
15-08-2006,Independence Day
15-08-2006,Janmashtami (Smarta)
16-08-2006,Janmashtami
20-08-2006,Parsi New Year
27-08-2006,Ganesh Chaturthi/Vinayaka Chaturthi
05-09-2006,Onam
23-09-2006,First Day of Sharad Navratri
23-09-2006,September Equinox
28-09-2006,First Day of Durga Puja Festivities
29-09-2006,Maha Saptami
30-09-2006,Maha Ashtami
02-10-2006,Mahatma Gandhi Jayanti
02-10-2006,Dussehra
07-10-2006,Maharishi Valmiki Jayanti
10-10-2006,Karaka Chaturthi (Karva Chauth)
20-10-2006,Jamat Ul-Vida
21-10-2006,Diwali/Deepavali
22-10-2006,Govardhan Puja
23-10-2006,Bhai Duj
24-10-2006,Ramzan Id/Eid-ul-Fitar
28-10-2006,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
31-10-2006,Halloween
05-11-2006,Guru Nanak Jayanti
24-11-2006,Guru Tegh Bahadur's Martyrdom Day
16-12-2006,First Day of Hanukkah
22-12-2006,December Solstice
23-12-2006,Last day of Hanukkah
24-12-2006,Christmas Eve
25-12-2006,Christmas
31-12-2006,New Year's Eve
01-01-2007,New Year's Day
05-01-2007,Guru Govind Singh Jayanti
15-01-2007,Pongal
15-01-2007,Makar Sankranti
23-01-2007,Vasant Panchami
26-01-2007,Republic Day
30-01-2007,Muharram/Ashura
02-02-2007,Guru Ravidas Jayanti
12-02-2007,Maharishi Dayanand Saraswati Jayanti
14-02-2007,Valentine's Day
16-02-2007,Maha Shivaratri/Shivaratri
18-02-2007,Chinese New Year
19-02-2007,Shivaji Jayanti
04-03-2007,Holi
19-03-2007,Chaitra Sukhladi
19-03-2007,Ugadi
19-03-2007,Gudi Padwa
21-03-2007,March Equinox
26-03-2007,Rama Navami
31-03-2007,Mahavir Jayanti
01-04-2007,Milad un-Nabi/Id-e-Milad
03-04-2007,First day of Passover
05-04-2007,Maundy Thursday
06-04-2007,Good Friday
08-04-2007,Easter Day
14-04-2007,Vaisakhi
01-05-2007,May Day
