Date,Name
13-04-2013,Vaisakhi
14-04-2013,Mesadi / Vaisakhadi
14-04-2013,Ambedkar Jayanti
19-04-2013,Rama Navami
24-04-2013,Mahavir Jayanti
01-05-2013,May Day
08-05-2013,Birthday of Ravindranath
12-05-2013,Mother's Day
24-05-2013,Hazarat Ali's Birthday
25-05-2013,Buddha Purnima/Vesak
16-06-2013,Father's Day
21-06-2013,June Solstice
10-07-2013,Rath Yatra
22-07-2013,Guru Purnima
02-08-2013,Jamat Ul-Vida
04-08-2013,Friendship Day
09-08-2013,Ramzan Id/Eid-ul-Fitar
15-08-2013,Independence Day
18-08-2013,Parsi New Year
20-08-2013,Raksha Bandhan (Rakhi)
20-08-2013,Onam
28-08-2013,Janmashtami
28-08-2013,Janmashtami (Smarta)
09-09-2013,Ganesh Chaturthi/Vinayaka Chaturthi
23-09-2013,September Equinox
02-10-2013,Mahatma Gandhi Jayanti
05-10-2013,First Day of Sharad Navratri
10-10-2013,First Day of Durga Puja Festivities
11-10-2013,Maha Saptami
12-10-2013,Maha Ashtami
13-10-2013,Dussehra
16-10-2013,Bakr Id/Eid ul-Adha
18-10-2013,Maharishi Valmiki Jayanti
22-10-2013,Karaka Chaturthi (Karva Chauth)
31-10-2013,Halloween
02-11-2013,Naraka Chaturdasi
03-11-2013,Diwali/Deepavali
04-11-2013,Govardhan Puja
05-11-2013,Bhai Duj
08-11-2013,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
14-11-2013,Muharram/Ashura
17-11-2013,Guru Nanak Jayanti
24-11-2013,Guru Tegh Bahadur's Martyrdom Day
28-11-2013,First Day of Hanukkah
05-12-2013,Last day of Hanukkah
21-12-2013,December Solstice
24-12-2013,Christmas Eve
25-12-2013,Christmas
31-12-2013,New Year's Eve
01-01-2014,New Year's Day
07-01-2014,Guru Govind Singh Jayanti
14-01-2014,Pongal
14-01-2014,Makar Sankranti
14-01-2014,Milad un-Nabi/Id-e-Milad
26-01-2014,Republic Day
31-01-2014,Chinese New Year
04-02-2014,Vasant Panchami
14-02-2014,Guru Ravidas Jayanti
14-02-2014,Valentine's Day
19-02-2014,Shivaji Jayanti
24-02-2014,Maharishi Dayanand Saraswati Jayanti
27-02-2014,Maha Shivaratri/Shivaratri
16-03-2014,Holika Dahana
17-03-2014,Holi
20-03-2014,March Equinox
31-03-2014,Chaitra Sukhladi
31-03-2014,Ugadi
31-03-2014,Gudi Padwa
08-04-2014,Rama Navami
13-04-2014,Mahavir Jayanti
14-04-2014,Vaisakhi
14-04-2014,Ambedkar Jayanti
15-04-2014,First day of Passover
15-04-2014,Mesadi / Vaisakhadi
17-04-2014,Maundy Thursday
18-04-2014,Good Friday
20-04-2014,Easter Day
01-05-2014,May Day
09-05-2014,Birthday of Ravindranath
11-05-2014,Mother's Day
13-05-2014,Hazarat Ali's Birthday
14-05-2014,Buddha Purnima/Vesak
15-06-2014,Father's Day
21-06-2014,June Solstice
29-06-2014,Rath Yatra
12-07-2014,Guru Purnima
25-07-2014,Jamat Ul-Vida
29-07-2014,Ramzan Id/Eid-ul-Fitar
03-08-2014,Friendship Day
10-08-2014,Raksha Bandhan (Rakhi)
15-08-2014,Independence Day
17-08-2014,Janmashtami (Smarta)
18-08-2014,Janmashtami
18-08-2014,Parsi New Year
29-08-2014,Ganesh Chaturthi/Vinayaka Chaturthi
06-09-2014,Onam
23-09-2014,September Equinox
25-09-2014,First Day of Sharad Navratri
30-09-2014,First Day of Durga Puja Festivities
01-10-2014,Maha Saptami
02-10-2014,Mahatma Gandhi Jayanti
02-10-2014,Maha Ashtami
03-10-2014,Dussehra
06-10-2014,Bakr Id/Eid ul-Adha
11-10-2014,Karaka Chaturthi (Karva Chauth)
22-10-2014,Naraka Chaturdasi
23-10-2014,Diwali/Deepavali
24-10-2014,Govardhan Puja
25-10-2014,Bhai Duj
29-10-2014,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
31-10-2014,Halloween
04-11-2014,Muharram/Ashura
06-11-2014,Guru Nanak Jayanti
24-11-2014,Guru Tegh Bahadur's Martyrdom Day
17-12-2014,First Day of Hanukkah
22-12-2014,December Solstice
24-12-2014,Last day of Hanukkah
24-12-2014,Christmas Eve
25-12-2014,Christmas
31-12-2014,New Year's Eve
01-01-2015,New Year's Day
04-01-2015,Milad un-Nabi/Id-e-Milad
05-01-2015,Guru Govind Singh Jayanti
15-01-2015,Pongal
15-01-2015,Makar Sankranti
22-01-2015,"Beti Bachao, Beti Padhao Campaign Launch Day"
24-01-2015,Vasant Panchami
26-01-2015,Republic Day
03-02-2015,Guru Ravidas Jayanti
14-02-2015,Maharishi Dayanand Saraswati Jayanti
14-02-2015,Valentine's Day
17-02-2015,Maha Shivaratri/Shivaratri
19-02-2015,Shivaji Jayanti
19-02-2015,Chinese New Year
05-03-2015,Holika Dahana
06-03-2015,Holi
21-03-2015,Chaitra Sukhladi
21-03-2015,Ugadi
21-03-2015,Gudi Padwa
21-03-2015,March Equinox
28-03-2015,Rama Navami
02-04-2015,Maundy Thursday
02-04-2015,Mahavir Jayanti
03-04-2015,Good Friday
04-04-2015,First day of Passover
05-04-2015,Easter Day
14-04-2015,Vaisakhi
14-04-2015,Ambedkar Jayanti
15-04-2015,Mesadi / Vaisakhadi
01-05-2015,May Day
03-05-2015,Hazarat Ali's Birthday
04-05-2015,Buddha Purnima/Vesak
09-05-2015,Birthday of Ravindranath
10-05-2015,Mother's Day
21-06-2015,Father's Day
21-06-2015,June Solstice
17-07-2015,Jamat Ul-Vida
18-07-2015,Rath Yatra
19-07-2015,Ramzan Id/Eid-ul-Fitar
31-07-2015,Guru Purnima
02-08-2015,Friendship Day
15-08-2015,Independence Day
18-08-2015,Parsi New Year
28-08-2015,Onam
29-08-2015,Raksha Bandhan (Rakhi)
05-09-2015,Janmashtami
05-09-2015,Janmashtami (Smarta)
17-09-2015,Ganesh Chaturthi/Vinayaka Chaturthi
23-09-2015,September Equinox
25-09-2015,Bakr Id/Eid ul-Adha
02-10-2015,Mahatma Gandhi Jayanti
13-10-2015,First Day of Sharad Navratri
19-10-2015,First Day of Durga Puja Festivities
20-10-2015,Maha Saptami
21-10-2015,Maha Ashtami
22-10-2015,Dussehra
24-10-2015,Muharram/Ashura
27-10-2015,Maharishi Valmiki Jayanti
30-10-2015,Karaka Chaturthi (Karva Chauth)
31-10-2015,Halloween
10-11-2015,Naraka Chaturdasi
11-11-2015,Diwali/Deepavali
12-11-2015,Govardhan Puja
13-11-2015,Bhai Duj
17-11-2015,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
24-11-2015,Guru Tegh Bahadur's Martyrdom Day
25-11-2015,Guru Nanak Jayanti
07-12-2015,First Day of Hanukkah
14-12-2015,Last day of Hanukkah
22-12-2015,December Solstice
24-12-2015,Christmas Eve
25-12-2015,Christmas
31-12-2015,New Year's Eve
01-01-2016,New Year's Day
15-01-2016,Pongal
15-01-2016,Makar Sankranti
16-01-2016,Guru Govind Singh Jayanti
26-01-2016,Republic Day
08-02-2016,Chinese New Year
12-02-2016,Vasant Panchami
14-02-2016,Valentine's Day
19-02-2016,Shivaji Jayanti
22-02-2016,Guru Ravidas Jayanti
04-03-2016,Maharishi Dayanand Saraswati Jayanti
07-03-2016,Maha Shivaratri/Shivaratri
20-03-2016,March Equinox
23-03-2016,Holika Dahana
24-03-2016,Maundy Thursday
24-03-2016,Holi
25-03-2016,Good Friday
27-03-2016,Easter Day
08-04-2016,Chaitra Sukhladi
08-04-2016,Ugadi
08-04-2016,Gudi Padwa
13-04-2016,Vaisakhi
14-04-2016,Mesadi / Vaisakhadi
14-04-2016,Ambedkar Jayanti
15-04-2016,Rama Navami
20-04-2016,Mahavir Jayanti
21-04-2016,Hazarat Ali's Birthday
23-04-2016,First day of Passover
01-05-2016,May Day
08-05-2016,Mother's Day
08-05-2016,Birthday of Ravindranath
21-05-2016,Buddha Purnima/Vesak
19-06-2016,Father's Day
21-06-2016,June Solstice
01-07-2016,Jamat Ul-Vida
06-07-2016,Ramzan Id/Eid-ul-Fitar
06-07-2016,Rath Yatra
19-07-2016,Guru Purnima
07-08-2016,Friendship Day
15-08-2016,Independence Day
17-08-2016,Parsi New Year
18-08-2016,Raksha Bandhan (Rakhi)
25-08-2016,Janmashtami
25-08-2016,Janmashtami (Smarta)
05-09-2016,Ganesh Chaturthi/Vinayaka Chaturthi
13-09-2016,Bakr Id/Eid ul-Adha
13-09-2016,Onam
22-09-2016,September Equinox
01-10-2016,First Day of Sharad Navratri
02-10-2016,Mahatma Gandhi Jayanti
07-10-2016,First Day of Durga Puja Festivities
09-10-2016,Maha Ashtami
11-10-2016,Dussehra
12-10-2016,Muharram/Ashura
16-10-2016,Maharishi Valmiki Jayanti
19-10-2016,Karaka Chaturthi (Karva Chauth)
29-10-2016,Naraka Chaturdasi
30-10-2016,Diwali/Deepavali
31-10-2016,Halloween
31-10-2016,Govardhan Puja
01-11-2016,Bhai Duj
06-11-2016,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
14-11-2016,Guru Nanak Jayanti
24-11-2016,Guru Tegh Bahadur's Martyrdom Day
13-12-2016,Milad un-Nabi/Id-e-Milad
21-12-2016,December Solstice
24-12-2016,Christmas Eve
25-12-2016,First Day of Hanukkah
25-12-2016,Christmas
31-12-2016,New Year's Eve
01-01-2017,Last day of Hanukkah
01-01-2017,New Year's Day
05-01-2017,Guru Govind Singh Jayanti
14-01-2017,Pongal
14-01-2017,Makar Sankranti
26-01-2017,Republic Day
28-01-2017,Chinese New Year
01-02-2017,Vasant Panchami
10-02-2017,Guru Ravidas Jayanti
14-02-2017,Valentine's Day
19-02-2017,Shivaji Jayanti
21-02-2017,Maharishi Dayanand Saraswati Jayanti
24-02-2017,Maha Shivaratri/Shivaratri
12-03-2017,Holika Dahana
13-03-2017,Holi
20-03-2017,March Equinox
28-03-2017,Chaitra Sukhladi
28-03-2017,Ugadi
28-03-2017,Gudi Padwa
04-04-2017,Rama Navami
09-04-2017,Mahavir Jayanti
11-04-2017,First day of Passover
11-04-2017,Hazarat Ali's Birthday
13-04-2017,Maundy Thursday
14-04-2017,Good Friday
14-04-2017,Vaisakhi
14-04-2017,Ambedkar Jayanti
15-04-2017,Mesadi / Vaisakhadi
16-04-2017,Easter Day
01-05-2017,May Day
09-05-2017,Birthday of Ravindranath
10-05-2017,Buddha Purnima/Vesak
14-05-2017,Mother's Day
18-06-2017,Father's Day
21-06-2017,June Solstice
23-06-2017,Jamat Ul-Vida
25-06-2017,Rath Yatra
26-06-2017,Ramzan Id/Eid-ul-Fitar
09-07-2017,Guru Purnima
06-08-2017,Friendship Day
07-08-2017,Raksha Bandhan (Rakhi)
14-08-2017,Janmashtami (Smarta)
15-08-2017,Independence Day
15-08-2017,Janmashtami
17-08-2017,Parsi New Year
25-08-2017,Ganesh Chaturthi/Vinayaka Chaturthi
02-09-2017,Bakr Id/Eid ul-Adha
04-09-2017,Onam
21-09-2017,First Day of Sharad Navratri
23-09-2017,September Equinox
26-09-2017,First Day of Durga Puja Festivities
27-09-2017,Maha Saptami
28-09-2017,Maha Ashtami
29-09-2017,Maha Navami
30-09-2017,Dussehra
01-10-2017,Muharram/Ashura
02-10-2017,Mahatma Gandhi Jayanti
05-10-2017,Maharishi Valmiki Jayanti
08-10-2017,Karaka Chaturthi (Karva Chauth)
18-10-2017,Naraka Chaturdasi
19-10-2017,Diwali/Deepavali
20-10-2017,Govardhan Puja
21-10-2017,Bhai Duj
26-10-2017,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
31-10-2017,Halloween
04-11-2017,Guru Nanak Jayanti
24-11-2017,Guru Tegh Bahadur's Martyrdom Day
02-12-2017,Milad un-Nabi/Id-e-Milad
13-12-2017,First Day of Hanukkah
20-12-2017,Last day of Hanukkah
21-12-2017,December Solstice
24-12-2017,Christmas Eve
25-12-2017,Christmas
25-12-2017,Guru Govind Singh Jayanti
31-12-2017,New Year's Eve
01-01-2018,New Year's Day
14-01-2018,Pongal
14-01-2018,Makar Sankranti
22-01-2018,Vasant Panchami
26-01-2018,Republic Day
31-01-2018,Guru Ravidas Jayanti
10-02-2018,Maharishi Dayanand Saraswati Jayanti
13-02-2018,Maha Shivaratri/Shivaratri
14-02-2018,Valentine's Day
16-02-2018,Chinese New Year
19-02-2018,Shivaji Jayanti
01-03-2018,Holika Dahana
02-03-2018,Holi
18-03-2018,Chaitra Sukhladi
18-03-2018,Ugadi
18-03-2018,Gudi Padwa
20-03-2018,March Equinox
25-03-2018,Rama Navami
29-03-2018,Maundy Thursday
29-03-2018,Mahavir Jayanti
30-03-2018,Good Friday
31-03-2018,First day of Passover
01-04-2018,Hazarat Ali's Birthday
01-04-2018,Easter Day
14-04-2018,Vaisakhi
14-04-2018,Ambedkar Jayanti
15-04-2018,Mesadi / Vaisakhadi
30-04-2018,Buddha Purnima/Vesak
01-05-2018,May Day
09-05-2018,Birthday of Ravindranath
13-05-2018,Mother's Day
15-06-2018,Ramzan Id/Eid-ul-Fitar
15-06-2018,Jamat Ul-Vida
16-06-2018,Ramzan Id/Eid-ul-Fitar
17-06-2018,Father's Day
21-06-2018,June Solstice
14-07-2018,Rath Yatra
27-07-2018,Guru Purnima
05-08-2018,Friendship Day
15-08-2018,Independence Day
17-08-2018,Parsi New Year
22-08-2018,Bakr Id/Eid ul-Adha
24-08-2018,Onam
26-08-2018,Raksha Bandhan (Rakhi)
02-09-2018,Janmashtami (Smarta)
03-09-2018,Janmashtami
13-09-2018,Ganesh Chaturthi/Vinayaka Chaturthi
21-09-2018,Muharram/Ashura
23-09-2018,September Equinox
02-10-2018,Mahatma Gandhi Jayanti
10-10-2018,First Day of Sharad Navratri
15-10-2018,First Day of Durga Puja Festivities
16-10-2018,Maha Saptami
17-10-2018,Maha Ashtami
18-10-2018,Maha Navami
19-10-2018,Dussehra
24-10-2018,Maharishi Valmiki Jayanti
27-10-2018,Karaka Chaturthi (Karva Chauth)
31-10-2018,Halloween
06-11-2018,Naraka Chaturdasi
07-11-2018,Diwali/Deepavali
08-11-2018,Govardhan Puja
09-11-2018,Bhai Duj
13-11-2018,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
21-11-2018,Milad un-Nabi/Id-e-Milad
23-11-2018,Guru Nanak Jayanti
24-11-2018,Guru Tegh Bahadur's Martyrdom Day
03-12-2018,First Day of Hanukkah
10-12-2018,Last day of Hanukkah
22-12-2018,December Solstice
24-12-2018,Christmas Eve
25-12-2018,Christmas
31-12-2018,New Year's Eve
01-01-2019,New Year's Day
13-01-2019,Guru Govind Singh Jayanti
13-01-2019,Lohri
15-01-2019,Pongal
15-01-2019,Makar Sankranti
26-01-2019,Republic Day
05-02-2019,Chinese New Year
09-02-2019,Vasant Panchami
14-02-2019,Valentine's Day
19-02-2019,Shivaji Jayanti
19-02-2019,Guru Ravidas Jayanti
01-03-2019,Maharishi Dayanand Saraswati Jayanti
04-03-2019,Maha Shivaratri/Shivaratri
20-03-2019,Holika Dahana
21-03-2019,Holi
21-03-2019,Dolyatra
21-03-2019,Hazarat Ali's Birthday
21-03-2019,March Equinox
06-04-2019,Chaitra Sukhladi
06-04-2019,Ugadi
06-04-2019,Gudi Padwa
13-04-2019,Rama Navami
14-04-2019,Vaisakhi
14-04-2019,Mesadi / Vaisakhadi
14-04-2019,Ambedkar Jayanti
17-04-2019,Mahavir Jayanti
18-04-2019,Maundy Thursday
19-04-2019,Good Friday
20-04-2019,First day of Passover
21-04-2019,Easter Day
01-05-2019,May Day
07-05-2019,Birthday of Ravindranath
12-05-2019,Mother's Day
18-05-2019,Buddha Purnima/Vesak
31-05-2019,Jamat Ul-Vida
05-06-2019,Ramzan Id/Eid-ul-Fitar
05-06-2019,Ramzan Id/Eid-ul-Fitar
16-06-2019,Father's Day
21-06-2019,June Solstice
04-07-2019,Rath Yatra
16-07-2019,Guru Purnima
04-08-2019,Friendship Day
12-08-2019,Bakr Id/Eid ul-Adha
15-08-2019,Independence Day
15-08-2019,Raksha Bandhan (Rakhi)
17-08-2019,Parsi New Year
24-08-2019,Janmashtami
24-08-2019,Janmashtami (Smarta)
02-09-2019,Ganesh Chaturthi/Vinayaka Chaturthi
10-09-2019,Muharram/Ashura
11-09-2019,Onam
23-09-2019,September Equinox
29-09-2019,First Day of Sharad Navratri
02-10-2019,Mahatma Gandhi Jayanti
04-10-2019,First Day of Durga Puja Festivities
05-10-2019,Maha Saptami
06-10-2019,Maha Ashtami
07-10-2019,Maha Navami
08-10-2019,Dussehra
13-10-2019,Maharishi Valmiki Jayanti
17-10-2019,Karaka Chaturthi (Karva Chauth)
27-10-2019,Naraka Chaturdasi
27-10-2019,Diwali/Deepavali
28-10-2019,Govardhan Puja
29-10-2019,Bhai Duj
31-10-2019,Halloween
02-11-2019,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
10-11-2019,Milad un-Nabi/Id-e-Milad
12-11-2019,Guru Nanak Jayanti
24-11-2019,Guru Tegh Bahadur's Martyrdom Day
22-12-2019,December Solstice
23-12-2019,First Day of Hanukkah
24-12-2019,Christmas Eve
25-12-2019,Christmas
30-12-2019,Last day of Hanukkah
31-12-2019,New Year's Eve
01-01-2020,New Year's Day
02-01-2020,Guru Govind Singh Jayanti
14-01-2020,Lohri
15-01-2020,Pongal
15-01-2020,Makar Sankranti
25-01-2020,Chinese New Year
26-01-2020,Republic Day
29-01-2020,Vasant Panchami
09-02-2020,Guru Ravidas Jayanti
14-02-2020,Valentine's Day
18-02-2020,Maharishi Dayanand Saraswati Jayanti
19-02-2020,Shivaji Jayanti
21-02-2020,Maha Shivaratri/Shivaratri
09-03-2020,Dolyatra
09-03-2020,Holika Dahana
09-03-2020,Hazarat Ali's Birthday
10-03-2020,Holi
20-03-2020,March Equinox
25-03-2020,Chaitra Sukhladi
25-03-2020,Ugadi
25-03-2020,Gudi Padwa
02-04-2020,Rama Navami
06-04-2020,Mahavir Jayanti
09-04-2020,First day of Passover
09-04-2020,Maundy Thursday
10-04-2020,Good Friday
12-04-2020,Easter Day
13-04-2020,Vaisakhi
14-04-2020,Mesadi / Vaisakhadi
14-04-2020,Ambedkar Jayanti
01-05-2020,May Day
07-05-2020,Buddha Purnima/Vesak
07-05-2020,Birthday of Ravindranath
10-05-2020,Mother's Day
22-05-2020,Jamat Ul-Vida
25-05-2020,Ramzan Id/Eid-ul-Fitar
25-05-2020,Ramzan Id/Eid-ul-Fitar
21-06-2020,Father's Day
21-06-2020,June Solstice
23-06-2020,Rath Yatra
05-07-2020,Guru Purnima
01-08-2020,Bakr Id/Eid ul-Adha
02-08-2020,Friendship Day
03-08-2020,Raksha Bandhan (Rakhi)
11-08-2020,Janmashtami (Smarta)
12-08-2020,Janmashtami
15-08-2020,Independence Day
16-08-2020,Parsi New Year
22-08-2020,Ganesh Chaturthi/Vinayaka Chaturthi
30-08-2020,Muharram/Ashura
31-08-2020,Onam
22-09-2020,September Equinox
02-10-2020,Mahatma Gandhi Jayanti
17-10-2020,First Day of Sharad Navratri
22-10-2020,Maha Saptami
22-10-2020,First Day of Durga Puja Festivities
23-10-2020,Maha Ashtami
24-10-2020,Maha Navami
25-10-2020,Dussehra
30-10-2020,Milad un-Nabi/Id-e-Milad
31-10-2020,Halloween
31-10-2020,Maharishi Valmiki Jayanti
04-11-2020,Karaka Chaturthi (Karva Chauth)
14-11-2020,Naraka Chaturdasi
14-11-2020,Diwali/Deepavali
15-11-2020,Govardhan Puja
16-11-2020,Bhai Duj
20-11-2020,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
24-11-2020,Guru Tegh Bahadur's Martyrdom Day
30-11-2020,Guru Nanak Jayanti
11-12-2020,First Day of Hanukkah
18-12-2020,Last day of Hanukkah
21-12-2020,December Solstice
24-12-2020,Christmas Eve
25-12-2020,Christmas
31-12-2020,New Year's Eve
01-01-2021,New Year's Day
13-01-2021,Lohri
14-01-2021,Pongal
14-01-2021,Makar Sankranti
20-01-2021,Guru Govind Singh Jayanti
26-01-2021,Republic Day
12-02-2021,Chinese New Year
14-02-2021,Valentine's Day
16-02-2021,Vasant Panchami
19-02-2021,Shivaji Jayanti
26-02-2021,Hazarat Ali's Birthday
27-02-2021,Guru Ravidas Jayanti
08-03-2021,Maharishi Dayanand Saraswati Jayanti
11-03-2021,Maha Shivaratri/Shivaratri
20-03-2021,March Equinox
28-03-2021,First day of Passover
28-03-2021,Dolyatra
28-03-2021,Holika Dahana
29-03-2021,Holi
01-04-2021,Maundy Thursday
02-04-2021,Good Friday
04-04-2021,Easter Day
13-04-2021,Chaitra Sukhladi
13-04-2021,Ugadi
13-04-2021,Gudi Padwa
14-04-2021,Vaisakhi
14-04-2021,Mesadi
14-04-2021,Ambedkar Jayanti
15-04-2021,Bahag Bihu/Vaisakhadi
21-04-2021,Rama Navami
25-04-2021,Mahavir Jayanti
01-05-2021,May Day
07-05-2021,Jamat Ul-Vida
09-05-2021,Mother's Day
09-05-2021,Birthday of Ravindranath
14-05-2021,Ramzan Id/Eid-ul-Fitar
14-05-2021,Ramzan Id/Eid-ul-Fitar
26-05-2021,Buddha Purnima/Vesak
20-06-2021,Father's Day
21-06-2021,June Solstice
12-07-2021,Rath Yatra
21-07-2021,Bakr Id/Eid ul-Adha
24-07-2021,Guru Purnima
01-08-2021,Friendship Day
15-08-2021,Independence Day
16-08-2021,Parsi New Year
20-08-2021,Muharram/Ashura
21-08-2021,Onam
22-08-2021,Raksha Bandhan (Rakhi)
30-08-2021,Janmashtami
30-08-2021,Janmashtami (Smarta)
10-09-2021,Ganesh Chaturthi/Vinayaka Chaturthi
23-09-2021,September Equinox
02-10-2021,Mahatma Gandhi Jayanti
07-10-2021,First Day of Sharad Navratri
11-10-2021,First Day of Durga Puja Festivities
12-10-2021,Maha Saptami
13-10-2021,Maha Ashtami
14-10-2021,Maha Navami
15-10-2021,Dussehra
19-10-2021,Milad un-Nabi/Id-e-Milad
20-10-2021,Maharishi Valmiki Jayanti
24-10-2021,Karaka Chaturthi (Karva Chauth)
31-10-2021,Halloween
04-11-2021,Naraka Chaturdasi
04-11-2021,Diwali/Deepavali
05-11-2021,Govardhan Puja
06-11-2021,Bhai Duj
10-11-2021,Chhat Puja (Pratihar Sashthi/Surya Sashthi)
19-11-2021,Guru Nanak Jayanti
24-11-2021,Guru Tegh Bahadur's Martyrdom Day
29-11-2021,First Day of Hanukkah
06-12-2021,Last day of Hanukkah
21-12-2021,December Solstice
24-12-2021,Christmas Eve
25-12-2021,Christmas
31-12-2021,New Year's Eve
